trans_id,lang,translation,category,station_sid,course_sid
己斐上４丁目,ja-Hrkt,こいうえよんちょうめ,stop_name,5234d3f5-5d4f-48ef-a580-af3eb1458ef9,
己斐上４丁目,en,Koi-ue-yonchome (Koi-ue 4),stop_name,5234d3f5-5d4f-48ef-a580-af3eb1458ef9,
己斐上４丁目,ko,고이 우에 4초메,stop_name,5234d3f5-5d4f-48ef-a580-af3eb1458ef9,
己斐上４丁目,zh-cn,己斐上四丁目,stop_name,5234d3f5-5d4f-48ef-a580-af3eb1458ef9,
己斐上４丁目,zh-tw,己斐上四丁目,stop_name,5234d3f5-5d4f-48ef-a580-af3eb1458ef9,
己斐上四丁目,ja,己斐上四丁目,stop_name,5234d3f5-5d4f-48ef-a580-af3eb1458ef9,
己斐上四丁目,ja-Hrkt,こいうえよんちょうめ,stop_name,5234d3f5-5d4f-48ef-a580-af3eb1458ef9,
己斐上四丁目,en,Koi-ue-yonchome (Koi-ue 4),stop_name,5234d3f5-5d4f-48ef-a580-af3eb1458ef9,
己斐上四丁目,ko,고이 우에 4초메,stop_name,5234d3f5-5d4f-48ef-a580-af3eb1458ef9,
己斐上四丁目,zh-cn,己斐上四丁目,stop_name,5234d3f5-5d4f-48ef-a580-af3eb1458ef9,
己斐上四丁目,zh-tw,己斐上四丁目,stop_name,5234d3f5-5d4f-48ef-a580-af3eb1458ef9,
己斐上４丁目上,ja,己斐上４丁目上,stop_name,9f697e4e-c18d-4986-b5ac-ad67e0bca85d,
己斐上４丁目上,ja-Hrkt,こいうえよんちょうめかみ,stop_name,9f697e4e-c18d-4986-b5ac-ad67e0bca85d,
己斐上４丁目上,en,Koi-ue-yonchome-kami (Koi-ue 4-kami),stop_name,9f697e4e-c18d-4986-b5ac-ad67e0bca85d,
己斐上４丁目上,ko,고이 우에 4초메 카미,stop_name,9f697e4e-c18d-4986-b5ac-ad67e0bca85d,
己斐上４丁目上,zh-cn,己斐上四丁目上,stop_name,9f697e4e-c18d-4986-b5ac-ad67e0bca85d,
己斐上４丁目上,zh-tw,己斐上四丁目上,stop_name,9f697e4e-c18d-4986-b5ac-ad67e0bca85d,
己斐上四丁目上,ja,己斐上四丁目上,stop_name,9f697e4e-c18d-4986-b5ac-ad67e0bca85d,
己斐上四丁目上,ja-Hrkt,こいうえよんちょうめかみ,stop_name,9f697e4e-c18d-4986-b5ac-ad67e0bca85d,
己斐上四丁目上,en,Koi-ue-yonchome-kami (Koi-ue 4-kami),stop_name,9f697e4e-c18d-4986-b5ac-ad67e0bca85d,
己斐上四丁目上,ko,고이 우에 4초메 카미,stop_name,9f697e4e-c18d-4986-b5ac-ad67e0bca85d,
己斐上四丁目上,zh-cn,己斐上四丁目上,stop_name,9f697e4e-c18d-4986-b5ac-ad67e0bca85d,
己斐上四丁目上,zh-tw,己斐上四丁目上,stop_name,9f697e4e-c18d-4986-b5ac-ad67e0bca85d,
無線台下,ja,無線台下,stop_name,03a89b2c-bfb7-4416-b1eb-b6141b271897,
無線台下,ja-Hrkt,むせんだいした,stop_name,03a89b2c-bfb7-4416-b1eb-b6141b271897,
無線台下,en,Musendai-shita,stop_name,03a89b2c-bfb7-4416-b1eb-b6141b271897,
無線台下,ko,무센다이 시타,stop_name,03a89b2c-bfb7-4416-b1eb-b6141b271897,
無線台下,zh-cn,无线台下,stop_name,03a89b2c-bfb7-4416-b1eb-b6141b271897,
無線台下,zh-tw,無線臺下,stop_name,03a89b2c-bfb7-4416-b1eb-b6141b271897,
緑ヶ丘入口,ja,緑ヶ丘入口,stop_name,749afd08-1bf6-45b0-853d-991df3ea8152,
緑ヶ丘入口,ja-Hrkt,みどりがおかいりぐち,stop_name,749afd08-1bf6-45b0-853d-991df3ea8152,
