station_sid,same_pole_id,jorudan_code,pickup_and_dropoff_flg,stop_no,direction,stop_group_name
d82c3d78-e34c-48ff-86c7-b4dfbbb399f1,0316002@HiroshimaArea,,3,,西広島方面,五月が丘三丁目@HiroshimaArea
b08916ae-4f84-46d4-af79-f4e3653309e3,0315001@HiroshimaArea,,3,,広電バス 各方面,五月が丘二丁目@HiroshimaArea
7809db1f-3e39-48bd-bd25-1ae4dcdf127a,0315002@HiroshimaArea,,3,,西広島方面,五月が丘二丁目@HiroshimaArea
b7a75111-7178-4377-9cce-b63624264414,0314001@HiroshimaArea,,3,,広電バス 各方面,五月が丘一丁目@HiroshimaArea
83e8624c-ee36-430f-b501-9762c1f09bf2,0314002@HiroshimaArea,,3,,西広島方面,五月が丘一丁目@HiroshimaArea
bcd44dbf-1f2a-4ea9-a6a5-f96dd0943e12,2049001@HiroshimaArea,,3,,広島方面,五月が丘四丁目@HiroshimaArea
7127a20e-29c6-4058-8e17-05bcccc579b9,2049002@HiroshimaArea,,3,,西広島方面,五月が丘四丁目@HiroshimaArea
bee52274-27e6-4cd9-a6a7-bba1ad0aacb6,0317001@HiroshimaArea,,3,,広島方面,五月が丘四丁目上@HiroshimaArea
1e0d18e8-cb57-4d16-b726-67a63a100508,0317002@HiroshimaArea,,3,,五月が丘方面,五月が丘四丁目上@HiroshimaArea
4889b5b0-4e54-46a6-a578-9567ae29a6ce,0318001@HiroshimaArea,,3,,広島方面,五月が丘団地@HiroshimaArea
74975e85-eec5-4dcd-8a09-89d3db328672,8892001@HiroshimaArea,,3,1,西広島・八丁堀方面,広電己斐団地入口@HiroshimaArea
b13d15ca-d930-4d8d-80b3-25cc6f5cfed4,8892002@HiroshimaArea,,3,2,八丁堀・ジアウトレット広島方面,広電己斐団地入口@HiroshimaArea
1794c01d-42af-4f6e-a8d4-9dc8f0c0ea3e,8892003@HiroshimaArea,,3,3,五月が丘方面,広電己斐団地入口@HiroshimaArea
e90b37dd-fc74-42d2-8f0c-a63ff845d18c,8892004@HiroshimaArea,,3,4,緑ヶ丘・大迫方面,広電己斐団地入口@HiroshimaArea
eefe76b7-79b3-4e63-9e0f-788bdcf3ab03,8893001@HiroshimaArea,,3,,西広島方面,己斐峠@HiroshimaArea
50d579e7-13e9-478d-9168-5aa15c764cd5,8893002@HiroshimaArea,,3,,五月が丘方面,己斐峠@HiroshimaArea
8675c2e9-69f4-4a55-bf12-add4f9637280,8894001@HiroshimaArea,,3,,西広島・八丁堀方面,己斐上三丁目@HiroshimaArea
e5732c85-3563-4d97-aea9-4d1fe871531e,8894002@HiroshimaArea,,3,,五月・広電団地方面,己斐上三丁目@HiroshimaArea
0e698306-ab6a-4f85-a519-9d757a64f9f7,8897001@HiroshimaArea,,3,,西広島・八丁堀方面,高須台五丁目@HiroshimaArea
68bd0fea-ef63-4e51-96bf-b4316305bd28,8897002@HiroshimaArea,,3,,もみじが丘方面,高須台五丁目@HiroshimaArea
04b92c72-e3ed-4dfd-a93e-12d74bcbd511,8898001@HiroshimaArea,,3,,西広島・八丁堀方面,高須台四丁目@HiroshimaArea
09d2ecee-a6bb-49a5-b0de-d37cc5da64a7,8898002@HiroshimaArea,,3,,もみじが丘方面,高須台四丁目@HiroshimaArea
ea1118be-531d-409a-a0ed-2044297c1f15,8899001@HiroshimaArea,,3,,西広島・八丁堀方面,高須台中央@HiroshimaArea
831d5bfd-0d14-40ba-a0f6-c93d7960efc2,8899002@HiroshimaArea,,3,,もみじが丘方面,高須台中央@HiroshimaArea
3cc52021-e137-45ca-9b1b-d54f89e1560e,8900001@HiroshimaArea,,3,,西広島・八丁堀方面,高須小学校@HiroshimaArea
