station_sid,same_pole_id,jorudan_code,pickup_and_dropoff_flg,stop_no,direction,stop_group_name
d465d675-e570-4822-b17f-264ef9ea3738,771201@HiroshimaArea,,3,,高須車庫・東尾道駅方面,今免@HiroshimaArea
3606699a-c68c-4f02-819a-b54016dfc0fc,771202@HiroshimaArea,,3,,尾道駅前・尾道工業団地・鳴滝登山口方面,今免@HiroshimaArea
023a6782-5674-4da8-a821-e3cea529dd03,7712001@HiroshimaArea,,3,1,尾道駅前・合同庁舎方面,新尾道駅@HiroshimaArea
e847366f-e04f-48bf-8365-5e2a2a5961e0,77120010@HiroshimaArea,,1,,降車専用,新尾道駅@HiroshimaArea
2fa83ade-9e15-48e5-b7d9-a0fe25455009,7712002@HiroshimaArea,,3,2,びんご運動公園北門・如水館前・尾道流通団地方面,新尾道駅@HiroshimaArea
6fff7616-38d0-4a51-8d88-a7d901f34725,7712003@HiroshimaArea,,3,3,びんご運動公園・三美園・尾道市立大学・陽光台方面,新尾道駅@HiroshimaArea
3ce998fe-f24e-4ca1-bb3d-bcf0d8823a74,7712101@HiroshimaArea,,3,,如水館前方面,亀川局前@HiroshimaArea
38748cf2-8a1b-41ab-a127-23abc86cc6f7,7712102@HiroshimaArea,,3,,尾道駅前方面,亀川局前@HiroshimaArea
4da63e73-209d-441f-9902-ed11ef846bd4,7712201@HiroshimaArea,,3,,向島支所・潮見ヶ浜方面,新開（尾道市）@HiroshimaArea
94cda30a-453c-4345-8e6e-068a786484e0,7712301@HiroshimaArea,,3,,如水館前・尾道駅前方面,神社前（尾道市）@HiroshimaArea
80764578-68e5-4bc2-a36b-083fcc427383,7712401@HiroshimaArea,,3,,市民病院方面,新高山一丁目@HiroshimaArea
98956863-f0bd-452d-aea9-b0286562a0ed,7712402@HiroshimaArea,,3,,尾道駅前方面,新高山一丁目@HiroshimaArea
dc918a85-284b-46db-b5c9-ec206e16decf,7712501@HiroshimaArea,,3,1,市民病院方面,新高山市営住宅前@HiroshimaArea
df964a3b-81a8-4f1c-a6ba-27176e7a7d81,7712502@HiroshimaArea,,3,2,尾道駅前方面,新高山市営住宅前@HiroshimaArea
235d1ec2-e4c4-4c24-a0b9-ef0f633dff6d,7712503@HiroshimaArea,,3,3,バイパス東口・東尾道駅方面,新高山市営住宅前@HiroshimaArea
b1ea46b5-8fdf-478b-9915-575659ad8f5a,7712601@HiroshimaArea,,3,,市民病院方面,新高山二丁目@HiroshimaArea
2e581a3b-f91d-4200-a1de-44f956f6d326,7712602@HiroshimaArea,,3,,尾道駅前方面,新高山二丁目@HiroshimaArea
e7183bdf-7e04-4d48-98c4-cfeafaf6ceec,7712701@HiroshimaArea,,3,,高須車庫・瀬戸田港・東尾道駅・尾道駅前方面,尾道国際ホテル前@HiroshimaArea
21ab1dc9-3400-4ac9-af74-db3e9004655c,7712702@HiroshimaArea,,3,,ＪＡ尾道総合病院・合同庁舎入口・鳴滝登山口方面,尾道国際ホテル前@HiroshimaArea
504f93a7-032b-45f3-8f0c-fdb0998e47e7,7712801@HiroshimaArea,,3,,各方面,久山田水源地@HiroshimaArea
2541eb4e-dd6d-4dbf-9379-c9c3ad8571fd,771301@HiroshimaArea,,3,,向島支所方面,岩子島@HiroshimaArea
6a10cd36-5a79-4651-9a83-bc9e1efd9f8c,7713001@HiroshimaArea,,3,,グランド前方面,千光寺公園@HiroshimaArea
