trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
08c41525-3cab-4bc1-91ee-05ad43e0e375,08:50:00,08:50:00,5810 1,17,熊野営業所,0,0,,
08c41525-3cab-4bc1-91ee-05ad43e0e375,08:50:00,08:50:00,5800 1,18,熊野営業所,0,0,,
08c41525-3cab-4bc1-91ee-05ad43e0e375,08:51:00,08:51:00,5790 1,19,熊野営業所,0,0,,
08c41525-3cab-4bc1-91ee-05ad43e0e375,08:51:00,08:51:00,5780 3,20,熊野営業所,0,0,,
08c41525-3cab-4bc1-91ee-05ad43e0e375,08:52:00,08:52:00,6030 1,21,熊野営業所,0,0,,
08c41525-3cab-4bc1-91ee-05ad43e0e375,08:52:00,08:52:00,6020 1,22,熊野営業所,0,0,,
08c41525-3cab-4bc1-91ee-05ad43e0e375,08:53:00,08:53:00,6010 1,23,熊野営業所,0,0,,
08c41525-3cab-4bc1-91ee-05ad43e0e375,08:54:00,08:54:00,6000 1,24,熊野営業所,0,0,,
08c41525-3cab-4bc1-91ee-05ad43e0e375,08:55:00,08:55:00,5990 1,25,熊野営業所,0,0,,
08c41525-3cab-4bc1-91ee-05ad43e0e375,08:55:00,08:55:00,5720 1,26,熊野営業所,0,0,,
08c41525-3cab-4bc1-91ee-05ad43e0e375,08:56:00,08:56:00,5980 1,27,熊野営業所,0,0,,
08c41525-3cab-4bc1-91ee-05ad43e0e375,08:57:00,08:57:00,5700 1,28,熊野営業所,0,0,,
08c41525-3cab-4bc1-91ee-05ad43e0e375,08:58:00,08:58:00,5690 1,29,熊野営業所,0,0,,
08c41525-3cab-4bc1-91ee-05ad43e0e375,08:58:00,08:58:00,25180 1,30,熊野営業所,0,0,,
08c41525-3cab-4bc1-91ee-05ad43e0e375,09:03:00,09:03:00,5680 3,31,熊野営業所,1,0,,
8404ed8b-d4c2-4c1c-bc94-06a23ee248fb,06:46:00,06:46:00,5970 1,1,熊野営業所,0,1,,
8404ed8b-d4c2-4c1c-bc94-06a23ee248fb,06:46:00,06:46:00,5960 1,2,熊野営業所,0,0,,
