table_name,field_name,language,translation,record_id,record_sub_id,field_value,station_sid,course_sid
stops,stop_name,en,Nakamizo,5720 2,,,d38d0734-ba0e-4e4e-a9fd-fb917593d75e,
stops,stop_name,ko,나카미조,5720 2,,,d38d0734-ba0e-4e4e-a9fd-fb917593d75e,
stops,stop_name,zh-cn,中沟,5720 2,,,d38d0734-ba0e-4e4e-a9fd-fb917593d75e,
stops,stop_name,zh-tw,中溝,5720 2,,,d38d0734-ba0e-4e4e-a9fd-fb917593d75e,
stops,stop_name,ja,熊野萩原,5780 3,,,a2fc56a1-3b25-4a55-9bf2-4cbcba20364b,
stops,stop_name,ja-Hrkt,くまのはぎわら,5780 3,,,a2fc56a1-3b25-4a55-9bf2-4cbcba20364b,
stops,stop_name,en,Kumano Hagiwara,5780 3,,,a2fc56a1-3b25-4a55-9bf2-4cbcba20364b,
stops,stop_name,ko,구마노 하기와라,5780 3,,,a2fc56a1-3b25-4a55-9bf2-4cbcba20364b,
stops,stop_name,zh-cn,熊野萩原,5780 3,,,a2fc56a1-3b25-4a55-9bf2-4cbcba20364b,
stops,stop_name,zh-tw,熊野萩原,5780 3,,,a2fc56a1-3b25-4a55-9bf2-4cbcba20364b,
stops,stop_name,ja,熊野萩原,5780 4,,,d6001caa-f8f7-4b34-89bc-9d733565ca00,
stops,stop_name,ja-Hrkt,くまのはぎわら,5780 4,,,d6001caa-f8f7-4b34-89bc-9d733565ca00,
stops,stop_name,en,Kumano Hagiwara,5780 4,,,d6001caa-f8f7-4b34-89bc-9d733565ca00,
stops,stop_name,ko,구마노 하기와라,5780 4,,,d6001caa-f8f7-4b34-89bc-9d733565ca00,
stops,stop_name,zh-cn,熊野萩原,5780 4,,,d6001caa-f8f7-4b34-89bc-9d733565ca00,
stops,stop_name,zh-tw,熊野萩原,5780 4,,,d6001caa-f8f7-4b34-89bc-9d733565ca00,
stops,stop_name,ja,庄賀地,5790 1,,,88c8f442-6773-444d-b3fb-ad277b20068a,
stops,stop_name,ja-Hrkt,しょうがじ,5790 1,,,88c8f442-6773-444d-b3fb-ad277b20068a,
stops,stop_name,en,Shogaji,5790 1,,,88c8f442-6773-444d-b3fb-ad277b20068a,
stops,stop_name,ko,쇼가지,5790 1,,,88c8f442-6773-444d-b3fb-ad277b20068a,
stops,stop_name,zh-cn,庄贺地,5790 1,,,88c8f442-6773-444d-b3fb-ad277b20068a,
stops,stop_name,zh-tw,莊賀地,5790 1,,,88c8f442-6773-444d-b3fb-ad277b20068a,
stops,stop_name,ja,庄賀地,5790 2,,,ea60ae0a-f0f1-41ab-99aa-f8fa27cec046,
stops,stop_name,ja-Hrkt,しょうがじ,5790 2,,,ea60ae0a-f0f1-41ab-99aa-f8fa27cec046,
stops,stop_name,en,Shogaji,5790 2,,,ea60ae0a-f0f1-41ab-99aa-f8fa27cec046,
stops,stop_name,ko,쇼가지,5790 2,,,ea60ae0a-f0f1-41ab-99aa-f8fa27cec046,
stops,stop_name,zh-cn,庄贺地,5790 2,,,ea60ae0a-f0f1-41ab-99aa-f8fa27cec046,
stops,stop_name,zh-tw,莊賀地,5790 2,,,ea60ae0a-f0f1-41ab-99aa-f8fa27cec046,
stops,stop_name,ja,下庄賀地,5800 1,,,4949ecd1-e8fb-45cb-88c6-0425b20d6344,
stops,stop_name,ja-Hrkt,しもしょうがじ,5800 1,,,4949ecd1-e8fb-45cb-88c6-0425b20d6344,
stops,stop_name,en,Shimo-shogaji,5800 1,,,4949ecd1-e8fb-45cb-88c6-0425b20d6344,
stops,stop_name,ko,시모쇼가지,5800 1,,,4949ecd1-e8fb-45cb-88c6-0425b20d6344,
stops,stop_name,zh-cn,下庄贺地,5800 1,,,4949ecd1-e8fb-45cb-88c6-0425b20d6344,
stops,stop_name,zh-tw,下莊賀地,5800 1,,,4949ecd1-e8fb-45cb-88c6-0425b20d6344,
stops,stop_name,ja,下庄賀地,5800 2,,,86380362-dfd6-4748-8570-605f92b07f28,
stops,stop_name,ja-Hrkt,しもしょうがじ,5800 2,,,86380362-dfd6-4748-8570-605f92b07f28,
stops,stop_name,en,Shimo-shogaji,5800 2,,,86380362-dfd6-4748-8570-605f92b07f28,
stops,stop_name,ko,시모쇼가지,5800 2,,,86380362-dfd6-4748-8570-605f92b07f28,
stops,stop_name,zh-cn,下庄贺地,5800 2,,,86380362-dfd6-4748-8570-605f92b07f28,
stops,stop_name,zh-tw,下莊賀地,5800 2,,,86380362-dfd6-4748-8570-605f92b07f28,
stops,stop_name,ja,初神,5810 1,,,d5c55004-ccdc-4765-983d-af6e30260652,
stops,stop_name,ja-Hrkt,はつかみ,5810 1,,,d5c55004-ccdc-4765-983d-af6e30260652,
stops,stop_name,en,Hatsugami,5810 1,,,d5c55004-ccdc-4765-983d-af6e30260652,
stops,stop_name,ko,하쓰가미,5810 1,,,d5c55004-ccdc-4765-983d-af6e30260652,
stops,stop_name,zh-cn,初神,5810 1,,,d5c55004-ccdc-4765-983d-af6e30260652,
stops,stop_name,zh-tw,初神,5810 1,,,d5c55004-ccdc-4765-983d-af6e30260652,
stops,stop_name,ja,初神,5810 2,,,5aec461b-5ec3-43a3-9c47-723eb1c0853d,
stops,stop_name,ja-Hrkt,はつかみ,5810 2,,,5aec461b-5ec3-43a3-9c47-723eb1c0853d,
stops,stop_name,en,Hatsugami,5810 2,,,5aec461b-5ec3-43a3-9c47-723eb1c0853d,
stops,stop_name,ko,하쓰가미,5810 2,,,5aec461b-5ec3-43a3-9c47-723eb1c0853d,
stops,stop_name,zh-cn,初神,5810 2,,,5aec461b-5ec3-43a3-9c47-723eb1c0853d,
stops,stop_name,zh-tw,初神,5810 2,,,5aec461b-5ec3-43a3-9c47-723eb1c0853d,
stops,stop_name,ja,下初神,5820 1,,,2b78c20f-cf52-41d4-a1df-9f640ff336ae,
stops,stop_name,ja-Hrkt,しもはつかみ,5820 1,,,2b78c20f-cf52-41d4-a1df-9f640ff336ae,
stops,stop_name,en,Shimo-hatsugami,5820 1,,,2b78c20f-cf52-41d4-a1df-9f640ff336ae,
stops,stop_name,ko,시모하쓰가미,5820 1,,,2b78c20f-cf52-41d4-a1df-9f640ff336ae,
stops,stop_name,zh-cn,下初神,5820 1,,,2b78c20f-cf52-41d4-a1df-9f640ff336ae,
stops,stop_name,zh-tw,下初神,5820 1,,,2b78c20f-cf52-41d4-a1df-9f640ff336ae,
