station_sid,daiya_sid,course_station_desc,course_station_desc_symbol,stop_sequence,course_no,ikisaki_main,ikisaki_sub
cc3f1704-ffb5-47cc-8f0a-b5901cd10a4a,08c41525-3cab-4bc1-91ee-05ad43e0e375,,,11,502,熊野営業所,
d0c6cd7a-0bbf-4638-8a96-3555da46ae25,08c41525-3cab-4bc1-91ee-05ad43e0e375,,,12,502,熊野営業所,
78506408-45e4-41e9-b4ca-93980803d1b6,08c41525-3cab-4bc1-91ee-05ad43e0e375,,,13,502,熊野営業所,
049bbd24-387e-443c-8726-58892a616639,08c41525-3cab-4bc1-91ee-05ad43e0e375,,,14,502,熊野営業所,
9096c94b-bafa-441d-8bbc-c9bc391c200e,08c41525-3cab-4bc1-91ee-05ad43e0e375,,,15,502,熊野営業所,
2b78c20f-cf52-41d4-a1df-9f640ff336ae,08c41525-3cab-4bc1-91ee-05ad43e0e375,,,16,502,熊野営業所,
d5c55004-ccdc-4765-983d-af6e30260652,08c41525-3cab-4bc1-91ee-05ad43e0e375,,,17,502,熊野営業所,
4949ecd1-e8fb-45cb-88c6-0425b20d6344,08c41525-3cab-4bc1-91ee-05ad43e0e375,,,18,502,熊野営業所,
88c8f442-6773-444d-b3fb-ad277b20068a,08c41525-3cab-4bc1-91ee-05ad43e0e375,,,19,502,熊野営業所,
a2fc56a1-3b25-4a55-9bf2-4cbcba20364b,08c41525-3cab-4bc1-91ee-05ad43e0e375,,,20,502,熊野営業所,
86cbe6e1-52c9-4661-bf9e-90846b3f28d5,08c41525-3cab-4bc1-91ee-05ad43e0e375,,,21,502,熊野営業所,
71499b49-b1ce-424f-8de0-ca44d77d222f,08c41525-3cab-4bc1-91ee-05ad43e0e375,,,22,502,熊野営業所,
92b1848e-de0e-4c7b-b00a-f9f9267a87f0,08c41525-3cab-4bc1-91ee-05ad43e0e375,,,23,502,熊野営業所,
52fe78d0-cfe4-4895-b1c7-21d098aa4d52,08c41525-3cab-4bc1-91ee-05ad43e0e375,,,24,502,熊野営業所,
bec7d233-29fc-4570-a7fb-10fa9fd7fb01,08c41525-3cab-4bc1-91ee-05ad43e0e375,,,25,502,熊野営業所,
