fare_id,route_id,origin_id,destination_id,contains_id
3240001025473_230_00,3564786346,5840 1,6040 1,
3240001025473_230_00,3564786346,5840 1,6010 1,
3240001025473_230_00,3564786346,5930 1,5840 1,
3240001025473_230_00,3564786346,5930 1,5820 1,
3240001025473_230_00,3564786346,5830 2,5930 2,
3240001025473_230_00,3564786346,5820 2,5930 2,
3240001025473_230_00,3564786346,5840 2,5910 2,
3240001025473_230_00,3564786346,5910 1,5840 1,
3240001025473_230_00,3564786346,5910 1,5850 1,
3240001025473_230_00,3564786346,5820 1,6020 2,
3240001025473_230_00,3564786346,6020 2,5820 2,
3240001025473_230_00,3564786346,5830 1,6040 1,
3240001025473_230_00,3564786346,5830 1,6020 1,
3240001025473_230_00,3564786346,6020 1,5820 2,
3240001025473_230_00,3564786346,5830 2,5910 2,
3240001025473_230_00,3564786346,5820 2,5920 2,
3240001025473_230_00,3564786346,5910 1,5820 1,
3240001025473_230_00,3564786346,5920 1,5840 1,
3240001025473_230_00,3564786346,5920 1,5820 1,
3240001025473_230_00,3564786346,5830 2,5920 2,
3240001025473_230_00,3564786346,6020 1,5840 2,
3240001025473_230_00,3564786346,5830 1,6010 1,
3240001025473_230_00,3564786346,5840 1,6020 1,
3240001025473_230_00,3564786346,5820 1,6040 1,
3240001025473_230_00,3564786346,5820 1,6010 1,
3240001025473_230_00,3564786346,5920 1,5850 1,
3240001025473_230_00,3564786346,5920 1,5830 1,
3240001025473_230_00,3564786346,5850 1,6040 1,
3240001025473_230_00,3564786346,5850 1,6020 2,
3240001025473_230_00,3564786346,6040 2,5850 2,
3240001025473_230_00,3564786346,6040 2,5840 2,
3240001025473_230_00,3564786346,6010 2,5830 2,
3240001025473_230_00,3564786346,6020 2,5850 2,
3240001025473_230_00,3564786346,5850 2,5930 2,
3240001025473_230_00,3564786346,5930 1,5830 1,
3240001025473_230_00,3564786346,6020 1,5850 2,
3240001025473_230_00,3564786346,5850 2,5920 2,
3240001025473_230_00,3564786346,5850 2,5910 2,
