table_name,field_name,language,translation,record_id,record_sub_id,field_value
stops,stop_name,ko,시모하쓰가미,5820 2,,
stops,stop_name,zh-cn,下初神,5820 2,,
stops,stop_name,zh-tw,下初神,5820 2,,
stops,stop_name,ja,東初神,5830 1,,
stops,stop_name,ja-Hrkt,ひがしはつかみ,5830 1,,
stops,stop_name,en,Higashi-hatsugami,5830 1,,
stops,stop_name,ko,히가시하쓰가미,5830 1,,
stops,stop_name,zh-cn,东初神,5830 1,,
stops,stop_name,zh-tw,東初神,5830 1,,
stops,stop_name,ja,東初神,5830 2,,
stops,stop_name,ja-Hrkt,ひがしはつかみ,5830 2,,
stops,stop_name,en,Higashi-hatsugami,5830 2,,
stops,stop_name,ko,히가시하쓰가미,5830 2,,
stops,stop_name,zh-cn,东初神,5830 2,,
stops,stop_name,zh-tw,東初神,5830 2,,
stops,stop_name,ja,西追分,5840 1,,
stops,stop_name,ja-Hrkt,にしおいわけ,5840 1,,
stops,stop_name,en,Nishi-oiwake,5840 1,,
stops,stop_name,ko,니시오이와케,5840 1,,
stops,stop_name,zh-cn,西追分,5840 1,,
stops,stop_name,zh-tw,西追分,5840 1,,
stops,stop_name,ja,西追分,5840 2,,
stops,stop_name,ja-Hrkt,にしおいわけ,5840 2,,
stops,stop_name,en,Nishi-oiwake,5840 2,,
stops,stop_name,ko,니시오이와케,5840 2,,
stops,stop_name,zh-cn,西追分,5840 2,,
stops,stop_name,zh-tw,西追分,5840 2,,
stops,stop_name,ja,追分,5850 1,,
stops,stop_name,ja-Hrkt,おいわけ,5850 1,,
stops,stop_name,en,Oiwake,5850 1,,
stops,stop_name,ko,오이와케,5850 1,,
stops,stop_name,zh-cn,追分,5850 1,,
stops,stop_name,zh-tw,追分,5850 1,,
stops,stop_name,ja,追分,5850 2,,
stops,stop_name,ja-Hrkt,おいわけ,5850 2,,
stops,stop_name,en,Oiwake,5850 2,,
stops,stop_name,ko,오이와케,5850 2,,
stops,stop_name,zh-cn,追分,5850 2,,
stops,stop_name,zh-tw,追分,5850 2,,
stops,stop_name,ja,東追分,5860 1,,
stops,stop_name,ja-Hrkt,ひがしおいわけ,5860 1,,
stops,stop_name,en,Higashi-oiwake,5860 1,,
stops,stop_name,ko,히가시오이와케,5860 1,,
stops,stop_name,zh-cn,东追分,5860 1,,
stops,stop_name,zh-tw,東追分,5860 1,,
stops,stop_name,ja,東追分,5860 2,,
stops,stop_name,ja-Hrkt,ひがしおいわけ,5860 2,,
stops,stop_name,en,Higashi-oiwake,5860 2,,
stops,stop_name,ko,히가시오이와케,5860 2,,
stops,stop_name,zh-cn,东追分,5860 2,,
stops,stop_name,zh-tw,東追分,5860 2,,
stops,stop_name,ja,加良地,5870 1,,
stops,stop_name,ja-Hrkt,がらじ,5870 1,,
stops,stop_name,en,Karachi,5870 1,,
stops,stop_name,ko,카라치,5870 1,,
stops,stop_name,zh-cn,加良地,5870 1,,
stops,stop_name,zh-tw,加良地,5870 1,,
stops,stop_name,ja,加良地,5870 2,,
stops,stop_name,ja-Hrkt,がらじ,5870 2,,
stops,stop_name,en,Karachi,5870 2,,
stops,stop_name,ko,카라치,5870 2,,
stops,stop_name,zh-cn,加良地,5870 2,,
stops,stop_name,zh-tw,加良地,5870 2,,
stops,stop_name,ja,西新宮,5880 1,,
stops,stop_name,ja-Hrkt,にししんぐう,5880 1,,
stops,stop_name,en,Nishi-shingu,5880 1,,
stops,stop_name,ko,니시신구,5880 1,,
stops,stop_name,zh-cn,西新宫,5880 1,,
stops,stop_name,zh-tw,西新宮,5880 1,,
stops,stop_name,ja,西新宮,5880 2,,
stops,stop_name,ja-Hrkt,にししんぐう,5880 2,,
stops,stop_name,en,Nishi-shingu,5880 2,,
stops,stop_name,ko,니시신구,5880 2,,
stops,stop_name,zh-cn,西新宫,5880 2,,
stops,stop_name,zh-tw,西新宮,5880 2,,
stops,stop_name,ja,新宮,5890 1,,
stops,stop_name,ja-Hrkt,しんぐう,5890 1,,
stops,stop_name,en,Shingu,5890 1,,
stops,stop_name,ko,신구,5890 1,,
stops,stop_name,zh-cn,新宫,5890 1,,
stops,stop_name,zh-tw,新宮,5890 1,,
stops,stop_name,ja,新宮,5890 2,,
stops,stop_name,ja-Hrkt,しんぐう,5890 2,,
stops,stop_name,en,Shingu,5890 2,,
stops,stop_name,ko,신구,5890 2,,
stops,stop_name,zh-cn,新宫,5890 2,,
stops,stop_name,zh-tw,新宮,5890 2,,
stops,stop_name,ja,東新宮,5900 1,,
stops,stop_name,ja-Hrkt,ひがししんぐう,5900 1,,
stops,stop_name,en,Higashi-shingu,5900 1,,
stops,stop_name,ko,히가시신구,5900 1,,
stops,stop_name,zh-cn,东新宫,5900 1,,
stops,stop_name,zh-tw,東新宮,5900 1,,
stops,stop_name,ja,東新宮,5900 2,,
stops,stop_name,ja-Hrkt,ひがししんぐう,5900 2,,
stops,stop_name,en,Higashi-shingu,5900 2,,
stops,stop_name,ko,히가시신구,5900 2,,
stops,stop_name,zh-cn,东新宫,5900 2,,
stops,stop_name,zh-tw,東新宮,5900 2,,
stops,stop_name,ja,海上側,5910 1,,
stops,stop_name,ja-Hrkt,かいじょうがわ,5910 1,,
stops,stop_name,en,Kaijogawa,5910 1,,
stops,stop_name,ko,가이조가와,5910 1,,
stops,stop_name,zh-cn,海上侧,5910 1,,
stops,stop_name,zh-tw,海上側,5910 1,,
stops,stop_name,ja,海上側,5910 2,,
stops,stop_name,ja-Hrkt,かいじょうがわ,5910 2,,
stops,stop_name,en,Kaijogawa,5910 2,,
stops,stop_name,ko,가이조가와,5910 2,,
stops,stop_name,zh-cn,海上侧,5910 2,,
stops,stop_name,zh-tw,海上側,5910 2,,
stops,stop_name,ja,国草,5920 1,,
stops,stop_name,ja-Hrkt,くにくさ,5920 1,,
stops,stop_name,en,Kunikusa,5920 1,,
stops,stop_name,ko,구니쿠사,5920 1,,
stops,stop_name,zh-cn,国草,5920 1,,
stops,stop_name,zh-tw,國草,5920 1,,
stops,stop_name,ja,国草,5920 2,,
stops,stop_name,ja-Hrkt,くにくさ,5920 2,,
stops,stop_name,en,Kunikusa,5920 2,,
stops,stop_name,ko,구니쿠사,5920 2,,
stops,stop_name,zh-cn,国草,5920 2,,
stops,stop_name,zh-tw,國草,5920 2,,
stops,stop_name,ja,山崎橋,5930 1,,
stops,stop_name,ja-Hrkt,やまさきばし,5930 1,,
stops,stop_name,en,Yamasakibashi,5930 1,,
