service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
11_平日(共通),1,1,1,1,1,0,0,20260505,20261105
11_土曜(共通),0,0,0,0,0,1,0,20260505,20261105
11_日祝(共通),0,0,0,0,0,0,1,20260505,20261105
12_平日(共通),1,1,1,1,1,0,0,20260505,20261105
12_土曜(共通),0,0,0,0,0,1,0,20260505,20261105
12_日祝(共通),0,0,0,0,0,0,1,20260505,20261105
13_平日(共通),1,1,1,1,1,0,0,20260505,20261105
13_土曜(共通),0,0,0,0,0,1,0,20260505,20261105
13_日祝(共通),0,0,0,0,0,0,1,20260505,20261105
