daiya_sid,bin_no,course_sid
d12d1047-1adf-4be0-ae8a-387a8e2201dd,5,f9f45ffe-15a8-44d1-9732-3211bd9e1bb3
fa7fd520-73db-44e7-a73b-9b414b4659d6,5,f9f45ffe-15a8-44d1-9732-3211bd9e1bb3
abfd1124-ec78-40c6-a889-b93a851e7b84,3,f9f45ffe-15a8-44d1-9732-3211bd9e1bb3
ad09f94d-ea28-411e-96a5-dce9bee33eee,3,f9f45ffe-15a8-44d1-9732-3211bd9e1bb3
3442ef96-3607-4791-94b9-e28d1aea6877,2,f9f45ffe-15a8-44d1-9732-3211bd9e1bb3
270a2933-1bc6-4b24-b5ea-e453e274a3c9,2,f9f45ffe-15a8-44d1-9732-3211bd9e1bb3
bfcc3da7-e30e-460f-9ae1-fb93e64ddd88,1,f9f45ffe-15a8-44d1-9732-3211bd9e1bb3
43a91771-cdf8-4693-8c41-fee291008f9d,4,f9f45ffe-15a8-44d1-9732-3211bd9e1bb3
3a747e34-f9db-4773-85b0-1eee8d238d46,1,849c3f76-bad8-4338-acec-32451d02008b
39d0fbb7-1a31-4be3-a754-94e18568fea1,1,849c3f76-bad8-4338-acec-32451d02008b
567c9883-69da-4163-a90a-a6b06789301b,2,849c3f76-bad8-4338-acec-32451d02008b
e0e5f6a5-aeec-4d73-b506-df304d35f5e1,1,849c3f76-bad8-4338-acec-32451d02008b
28d43007-d3fa-44c9-82ce-0df8bc2bb7ee,5,39e803f7-a982-42cd-b015-35f47e8c1b99
ab864ff3-0ab3-41f1-afff-126e971d4b64,2,39e803f7-a982-42cd-b015-35f47e8c1b99
a2d38f77-58c1-4a07-8bf0-22d8a511c080,4,39e803f7-a982-42cd-b015-35f47e8c1b99
6a3f9ee5-c8d7-4719-a9dd-2d24ec87d79e,1,39e803f7-a982-42cd-b015-35f47e8c1b99
82105175-0cf2-4e2b-8b62-315c6938dc01,4,39e803f7-a982-42cd-b015-35f47e8c1b99
c925457a-f4c0-4ac3-b48a-3863035de0c8,5,39e803f7-a982-42cd-b015-35f47e8c1b99
d9036c9a-e01d-498c-b771-7a7cbae24805,4,39e803f7-a982-42cd-b015-35f47e8c1b99
9178c7c4-5d48-4005-8a7c-903fccbcbb8c,2,39e803f7-a982-42cd-b015-35f47e8c1b99
1a91bc89-03f3-4434-9431-9ec449694420,3,39e803f7-a982-42cd-b015-35f47e8c1b99
c66a6151-fafd-4981-a7b6-a169de9cf1d1,1,39e803f7-a982-42cd-b015-35f47e8c1b99
965bbd0c-1c9b-47bf-8d9f-b55c67a30e9a,3,39e803f7-a982-42cd-b015-35f47e8c1b99
9e6852ce-be2e-40b7-8ba1-dde3735bcae8,3,39e803f7-a982-42cd-b015-35f47e8c1b99
27afa631-7166-4bea-aa7c-3b47c1de5785,1,39e803f7-a982-42cd-b015-35f47e8c1b99
39058d7f-ada5-44aa-93b1-528745d12104,2,39e803f7-a982-42cd-b015-35f47e8c1b99
f4632009-e344-42f2-9314-0c8a6bbf5e0b,2,1edc997a-027a-47f1-bb47-3f5f396c0a00
2c03b88c-98c6-46f7-bc9c-502ed98703df,2,1edc997a-027a-47f1-bb47-3f5f396c0a00
90549dc2-8a50-4651-b9eb-74d2345436b8,1,1edc997a-027a-47f1-bb47-3f5f396c0a00
b87221e2-e892-4b68-b6a8-7b461e8452d4,1,1edc997a-027a-47f1-bb47-3f5f396c0a00
7ca25e30-7e28-4af5-b6ec-8eafef0ee65a,1,1edc997a-027a-47f1-bb47-3f5f396c0a00
58cbac23-5f62-4871-a843-bfec3f0eda71,2,1edc997a-027a-47f1-bb47-3f5f396c0a00
ee3ebc6e-48cc-46a1-bd34-47a9b2d2d64b,2,8666b0c4-e9e5-4619-b0c2-4aebaa4d7257
fe7dfdb9-28d7-4758-ad26-5a9dc68e3a01,1,8666b0c4-e9e5-4619-b0c2-4aebaa4d7257
af66e95e-2e78-4639-ae61-5b2688af979a,1,db6cf8ee-61f0-4703-b92c-53ba880a72fc
811e691f-cf7c-4388-bdce-1cc77428f4ea,1,3293150d-c87b-4d31-afdb-5fcc7a7dfb0a
73ee79b5-faa1-4586-8853-36af411b1d18,3,3293150d-c87b-4d31-afdb-5fcc7a7dfb0a
8d5f55c8-00e3-45a7-819a-5f9ea2f374a2,3,3293150d-c87b-4d31-afdb-5fcc7a7dfb0a
356db228-fe44-4229-a107-834c2d6fb0bd,2,3293150d-c87b-4d31-afdb-5fcc7a7dfb0a
