route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
3277890833,900_土曜(共通),2b33d382-8a7e-481a-ab07-18a52bf80ea2,,,,,20050 9,0,0
3277890833,900_日祝(共通),86dd22de-7b68-4a51-8aa4-7095b83ee245,,,,,20050 9,0,0
3277890833,900_土曜(共通),6b8ad61f-707e-4f26-9ee4-837e95848e14,,,,,20050 9,0,0
3277890833,900_平日(共通),49b82e94-cdce-49ff-98f4-b0564e989488,,,,,20050 9,0,0
3277890833,900_日祝(共通),48159414-7a87-46c8-a527-b5c051ce2605,,,,,20050 9,0,0
3277890833,900_日祝(共通),39b337f1-aa95-42b4-9192-d913fd81c4a4,,,,,20050 9,0,0
3277890833,900_土曜(共通),2247df40-2d8b-414d-9cf5-d91e8766a72f,,,,,20050 9,0,0
3277890833,900_平日(共通),f36abf7b-1e7c-48de-92d0-f3d0721e01bc,,,,,20050 9,0,0
3277890833,900_土曜(共通),e805e377-04e0-49a3-a63e-4653ed5877ee,,,,,20230 9,0,0
3277890833,900_日祝(共通),75374cfb-e12f-436c-8ed2-e230e9967c07,,,,,20230 9,0,0
1830949550,900_土曜(共通),6356884b-b3a0-49bd-afb0-0b20dfab59fd,,,,,401 0,0,0
1830949550,900_日祝(共通),6b0501dd-5060-4e54-9cda-330fb1312f2c,,,,,401 0,0,0
1830949550,900_日祝(共通),83a1c18b-b7b7-4a79-a4c7-565865e779ac,,,,,401 0,0,0
1830949550,900_土曜(共通),9dc08615-ccb5-4efa-9af9-64b299ae0f84,,,,,401 0,0,0
1830949550,900_平日(共通),90423f9a-a88d-4690-9f79-bfc2fa12bad9,,,,,401 0,0,0
1830949550,900_平日(共通),88669dba-2e76-4e4b-9635-d82b59403785,,,,,401 0,0,0
1830949550,900_日祝(共通),b53570e6-417a-426d-9c61-da2ea964fcd0,,,,,401 0,0,0
1830949550,900_平日(共通),434729d6-f568-4662-87e4-dd0b77c4f4c5,,,,,401 0,0,0
1830949550,900_土曜(共通),b81244cb-a716-44a3-a609-ed352837ef6a,,,,,401 0,0,0
1830949550,900_平日(共通),abe1cfc4-8b09-4aec-ada0-f03014862eed,,,,,401 0,0,0
730850706,900_土曜(共通),7b2f969b-5cf5-4e33-bfe7-2542ae37b2e2,,,,,31120 9,0,0
730850706,900_日祝(共通),2ffb9054-c47a-4ad1-9aee-80cbd8c5e887,,,,,31120 9,0,0
730850706,900_日祝(共通),2ac7f741-d61a-4475-8aa1-81a14a799a55,,,,,31120 9,0,0
730850706,900_平日(共通),b28ddd80-8bce-47c0-bd62-98fce4d1f2e2,,,,,31120 9,0,0
730850706,900_土曜(共通),38b0530b-c9a8-451e-8d6c-dbb2a30b007f,,,,,31120 9,0,0
3277890833,900_平日(共通),d47cc59e-2552-491e-85ff-583978ba5437,,,,,20030 9,0,0
730850706,900_平日(共通),26061d79-9ac7-4b12-829b-06c059053d8a,,,,,31510 9,0,0
1830949550,900_日祝(共通),988bd499-b9a6-4d06-a10d-03e0a29d3c43,,,,,412 9,0,0
1830949550,900_平日(共通),b64274e9-c2a4-4927-a711-18ea25c2316f,,,,,412 9,0,0
1830949550,900_土曜(共通),efead6e5-0cf8-498e-8b91-60052a70b525,,,,,412 9,0,0
730850706,900_土曜(共通),5afbe0cb-5580-4c59-a260-245458ff352a,,,,,31110 9,0,0
730850706,900_土曜(共通),3c083ce0-cbcd-4ac9-9786-2dba8baae25a,,,,,31110 9,0,0
730850706,900_平日(共通),16abe4bf-958f-4e15-98bf-67d4bcf36ea4,,,,,31110 9,0,0
730850706,900_日祝(共通),6642db08-1010-4e57-82f0-c08feb6a0e18,,,,,31110 9,0,0
730850706,900_日祝(共通),3d7aa3a4-99f6-43d3-9e2f-cd4012896086,,,,,31110 9,0,0
1830949550,900_平日(共通),ab9d6f87-79c3-4cdb-b7e4-1699e4182a53,,,,,403 9,0,0
1830949550,900_土曜(共通),b6cde6a5-a95e-4501-a8b6-4dbfcfbe4183,,,,,403 9,0,0
