trans_id,lang,translation
大野西小学校,ja-Hrkt,おおのにししょうがっこう
大野西小学校,en,Ono-nishi Shogakko (Ono-nishi Elementary School)
大野西小学校,ko,오노 니시 초등학교
大野西小学校,zh-cn,大野西小学
大野西小学校,zh-tw,大野西小學
大野浦駅北口,ja,大野浦駅北口
大野浦駅北口,ja-Hrkt,おおのうらえききたぐち
船倉,ja,船倉
船倉,ja-Hrkt,ふなくら
船倉,en,Funakura
船倉,ko,후나쿠라
船倉,zh-cn,船仓
船倉,zh-tw,船倉
林が原,ja,林が原
林が原,ja-Hrkt,はやしがはら
林が原,en,Hayashigahara
林が原,ko,하야시가하라
林が原,zh-cn,林原
林が原,zh-tw,林原
丸石上,ja,丸石上
丸石上,ja-Hrkt,まるいしかみ
丸石上,en,Maruishi-ue
丸石上,ko,마루이시 우에
丸石上,zh-cn,丸石上
丸石上,zh-tw,丸石上
向原,ja,向原
向原,ja-Hrkt,むかいはら
向原,en,Mukaihara
向原,ko,무카이하라
向原,zh-cn,向原
向原,zh-tw,向原
宮浜温泉,ja,宮浜温泉
宮浜温泉,ja-Hrkt,みやはまおんせん
べにまんさくの湯,ja,べにまんさくの湯
べにまんさくの湯,ja-Hrkt,べにまんさくのゆ
べにまんさくの湯,en,Benimansaku-no-Yu
べにまんさくの湯,ko,베니만사쿠노 유
べにまんさくの湯,zh-cn,红满作温泉
べにまんさくの湯,zh-tw,紅滿作溫泉
サンランド入口,ja,サンランド入口
サンランド入口,ja-Hrkt,さんらんどいりぐち
サンランド入口,en,Juraku Sanso
サンランド入口,ko,주라쿠 산소
サンランド入口,zh-cn,聚乐山庄
サンランド入口,zh-tw,聚樂山莊
サンランド東,ja,サンランド東
サンランド東,ja-Hrkt,さんらんどひがし
サンランド東,en,Sun Land-higashi
サンランド東,ko,선 랜드 히가시
サンランド東,zh-cn,Sun Land东
サンランド東,zh-tw,Sun Land東
サンランド,ja,サンランド
サンランド,ja-Hrkt,さんらんど
サンランド,en,Sun Land
サンランド,ko,선 랜드
サンランド,zh-cn,Sun Land
サンランド,zh-tw,Sun Land
サンランド西,ja,サンランド西
サンランド西,ja-Hrkt,さんらんどにし
サンランド西,en,Sun Land Shako (Sun Land Depot)
サンランド西,ko,선 랜드 차고
サンランド西,zh-cn,Sun Land车库
サンランド西,zh-tw,Sun Land車庫
鳴川,ja,鳴川
鳴川,ja-Hrkt,なるかわ
鳴川,en,Narukawa
鳴川,ko,나루카와
鳴川,zh-cn,鸣川
鳴川,zh-tw,鳴川
玖波駅,ja,玖波駅
玖波駅,ja-Hrkt,くばえき
玖波駅,en,Kuba Sta.
玖波駅,ko,구바 역
玖波駅,zh-cn,玖波站
玖波駅,zh-tw,玖波站
ふじタウン西,ja,ふじタウン西
ふじタウン西,ja-Hrkt,ふじたうんにし
ふじタウン西,en,Fuji Town-nishi
ふじタウン西,ko,후지 타운 니시
ふじタウン西,zh-cn,Fuji Town西
ふじタウン西,zh-tw,Fuji Town西
宮島口東二丁目,ja,宮島口東二丁目
宮島口東二丁目,ja-Hrkt,みやじまぐちひがしにちょうめ
宮島口東二丁目,en,Miyajima-guchi-higashi-nichome (Miyajima-guchi-higashi 2)
宮島口東二丁目,ko,미야지마 구치 히가시 2초메
宮島口東二丁目,zh-cn,宫岛口东二丁目
宮島口東二丁目,zh-tw,宮島口東二丁目
宮島口東三丁目,ja,宮島口東三丁目
宮島口東三丁目,ja-Hrkt,みやじまぐちひがしさんちょうめ
宮島口東三丁目,en,Miyajima-guchi-higashi-sanchome (Miyajima-guchi-higashi 3)
宮島口東三丁目,ko,미야지마 구치 히가시 3초메
宮島口東三丁目,zh-cn,宫岛口东三丁目
宮島口東三丁目,zh-tw,宮島口東三丁目
宮島口東一丁目,ja,宮島口東一丁目
宮島口東一丁目,ja-Hrkt,みやじまぐちひがしいっちょうめ
宮島口東一丁目,en,Miyajima-guchi-higashi-itchome (Miyajima-guchi-higashi 1)
宮島口東一丁目,ko,미야지마 구치 히가시 1초메
宮島口東一丁目,zh-cn,宫岛口东一丁目
宮島口東一丁目,zh-tw,宮島口東一丁目
宮島口上,ja,宮島口上
宮島口上,ja-Hrkt,みやじまぐちかみ
宮島口上,en,Miyajima-guchi-ue
宮島口上,ko,미야지마 구치 우에
宮島口上,zh-cn,宫岛口上
宮島口上,zh-tw,宮島口上
土井上,ja,土井上
土井上,ja-Hrkt,どいかみ
土井上,en,Doi-kami
土井上,ko,도이카미
土井上,zh-cn,土井上
土井上,zh-tw,土井上
大野東小学校,ja,大野東小学校
大野東小学校,ja-Hrkt,おおのひがししょうがっこう
大野東小学校,en,Ono-higashi Shogakko (Ono-higashi Elementary School)
大野東小学校,ko,오노 히가시 초등학교
大野東小学校,zh-cn,大野东小学
大野東小学校,zh-tw,大野東小學
鯛の原,ja,鯛の原
鯛の原,ja-Hrkt,たいのはら
鯛の原,en,Tainohara
鯛の原,ko,다이노하라
鯛の原,zh-cn,鲷之原
鯛の原,zh-tw,鯛之原
青葉台集会所前,ja,青葉台集会所前
青葉台集会所前,ja-Hrkt,あおばだいしゅうかいしょまえ
青葉台集会所前,en,Aobadai Shukaisho-mae
青葉台集会所前,ko,아오바다이 슈카이쇼 마에
青葉台集会所前,zh-cn,青叶台集会所前
青葉台集会所前,zh-tw,青葉臺集會所前
上の浜,ja,上の浜
上の浜,ja-Hrkt,かみのはま
上の浜,en,Kaminohama
上の浜,ko,가미노하마
上の浜,zh-cn,上之滨
上の浜,zh-tw,上之濱
梅原一丁目,ja,梅原一丁目
梅原一丁目,ja-Hrkt,うめはらいっちょうめ
梅原一丁目,en,Umehara-itchome (Umehara 1)
梅原一丁目,ko,우메하라 1초메
梅原一丁目,zh-cn,梅原一丁目
梅原一丁目,zh-tw,梅原一丁目
沖塩屋,ja,沖塩屋
沖塩屋,ja-Hrkt,おきしおや
沖塩屋,en,Okishioya
沖塩屋,ko,오키시오야
沖塩屋,zh-cn,冲盐屋
沖塩屋,zh-tw,衝鹽屋
青海苔,ja,青海苔
青海苔,ja-Hrkt,あおのり
青海苔,en,Aonori
青海苔,ko,아오노리
青海苔,zh-cn,青海苔
青海苔,zh-tw,青海苔
丸石,ja,丸石
丸石,ja-Hrkt,まるいし
丸石,en,Maruishi
丸石,ko,마루이시
丸石,zh-cn,丸石
丸石,zh-tw,丸石
広電阿品駅,ja,広電阿品駅
広電阿品駅,ja-Hrkt,ひろでんあじなえき
広電阿品駅,en,Hiroden-ajina Sta.
広電阿品駅,ko,히로덴 아지나 역
広電阿品駅,zh-cn,广电阿品站
広電阿品駅,zh-tw,廣電阿品站
ナタリーマリナタウン,ja,ナタリーマリナタウン
ナタリーマリナタウン,ja-Hrkt,なたりーまりなたうん
ナタリーマリナタウン,en,Natalie Marina Town
ナタリーマリナタウン,ko,나탈리 마리나 타운
ナタリーマリナタウン,zh-cn,NATALIE MARINA TOWN
ナタリーマリナタウン,zh-tw,NATALIE MARINA TOWN
マリナタウン,ja,マリナタウン
マリナタウン,ja-Hrkt,なたりーまりなたうん
マリナタウン,en,Natalie Marina Town
マリナタウン,ko,나탈리 마리나 타운
マリナタウン,zh-cn,NATALIE MARINA TOWN
マリナタウン,zh-tw,NATALIE MARINA TOWN
ふじタウン南,ja,ふじタウン南
ふじタウン南,ja-Hrkt,ふじたうんみなみ
ふじタウン南,en,Fuji Town-minami
ふじタウン南,ko,후지타운 미나미
ふじタウン南,zh-cn,Fuji Town南
ふじタウン南,zh-tw,Fuji Town南
ふじタウン中,ja,ふじタウン中
ふじタウン北,ja,ふじタウン北
中山,ja,中山
中山,ja-Hrkt,なかやま
中山,en,Nakayama
中山,ko,나카야마（나카야마 산)
中山,zh-cn,中山
中山,zh-tw,中山
西市民センター,ja,西市民センター
西市民センター,ja-Hrkt,にししみんせんたー
大野浦駅南口,ja,大野浦駅南口
大野浦駅南口,ja-Hrkt,おおのうらえきみなみぐち
大野浦駅南口,en,Onoura Sta. South Entrance
大野浦駅南口,ko,오노우라 역
大野浦駅南口,zh-cn,大野浦站南口
大野浦駅南口,zh-tw,大野浦站南口
ＪＲ阿品駅,ja,ＪＲ阿品駅
ＪＲ阿品駅,ja-Hrkt,じぇいあーるあじなえき
ＪＲ阿品駅,en,JR Ajina Sta.
ＪＲ阿品駅,ko,JR 아지나 역
ＪＲ阿品駅,zh-cn,JR阿品站
ＪＲ阿品駅,zh-tw,JR阿品站
下の浜,ja,下の浜
下の浜,ja-Hrkt,しものはま
下の浜,en,Shimonohama
下の浜,ko,시모노하마
下の浜,zh-cn,下之滨
下の浜,zh-tw,下之濱
大手,ja,大手
大手,ja-Hrkt,おおて
大手,en,Ote
大手,ko,오테
大手,zh-cn,大手
大手,zh-tw,大手
阿品台山の手,ja,阿品台山の手
阿品台山の手,ja-Hrkt,あじなだいやまのて
阿品台山の手,en,Ajinadai Yamanote
阿品台山の手,ko,아지나다이 야마노테
阿品台山の手,zh-cn,阿品台山之手
阿品台山の手,zh-tw,阿品臺山之手
池田橋,ja,池田橋
池田橋,ja-Hrkt,いけだばし
池田橋,en,Ikedabashi
池田橋,ko,이케다바시
池田橋,zh-cn,池田桥
池田橋,zh-tw,池田橋
大野中央,ja,大野中央
大野中央,ja-Hrkt,おおのちゅうおう
大野中央,en,Ono-chuo
大野中央,ko,오노 추오
大野中央,zh-cn,大野中央
大野中央,zh-tw,大野中央
永慶寺橋,ja,永慶寺橋
永慶寺橋,ja-Hrkt,えいけいじばし
