trans_id,lang,translation
永田,ko,나가타
永田,zh_cn,永田
永田,zh_tw,永田
宮山,ja,宮山
宮山,en,Miyayama
宮山,ja-Hrkt,みややま
迫田口,ja,迫田口
迫田口,en,Sakodaguchi
迫田口,ja-Hrkt,さこだぐち
能美中学校前,ja,能美中学校前
能美中学校前,en,Nomi Chugakko Mae
能美中学校前,ja-Hrkt,のうみちゅうがっこうまえ
長石,ja,長石
長石,en,Nagaishi
長石,ja-Hrkt,ながいし
中町桟橋,ja,中町桟橋
中町桟橋,en,Nakamachi Sanbashi
中町桟橋,ja-Hrkt,なかまちさんばし
黒張,ja,黒張
黒張,en,Kurohari
黒張,ja-Hrkt,くろはり
長瀬海岸,ja,長瀬海岸
長瀬海岸,en,Nagase Kaigan
長瀬海岸,ja-Hrkt,ながせかいがん
松ヶ鼻,ja,松ヶ鼻
松ヶ鼻,en,Matsugahama
松ヶ鼻,ja-Hrkt,まつがはな
墓地公園前,ja,墓地公園前
墓地公園前,en,Bochi Koen Mae
墓地公園前,ja-Hrkt,ぼちこうえんまえ
大盤団地,ja,大盤団地
大盤団地,en,Oban Danchi
大盤団地,ja-Hrkt,おおばんだんち
内海,ja,内海
内海,en,Uchiumi
内海,ja-Hrkt,うちうみ
見浪橋,ja,見浪橋
見浪橋,en,Minamibashi
見浪橋,ja-Hrkt,みなみばし
南区,ja,南区
南区,en,Minamiku
南区,ja-Hrkt,みなみく
荒神橋,ja,荒神橋
荒神橋,en,Kojin Bashi
荒神橋,ja-Hrkt,こうじんばし
沖北,ja,沖北
沖北,en,Okikita
沖北,ja-Hrkt,おききた
高田桟橋前,ja,高田桟橋前
高田桟橋前,en,Takata Sanbashi Mae
高田桟橋前,ja-Hrkt,たかたさんばしまえ
高田桟橋,ja,高田桟橋
高田桟橋,en,Takata Sanbashi
高田桟橋,ja-Hrkt,たかたさんばし
小方,ja,小方
小方,en,Ogata
小方,ja-Hrkt,おがた
小島,ja,小島
小島,en,Kojima
小島,ja-Hrkt,こじま
三高口,ja,三高口
三高口,en,Mitakaguchi
三高口,ja-Hrkt,みたかぐち
三高桟橋,ja,三高桟橋
三高桟橋,en,Mitaka Sanbashi
三高桟橋,ja-Hrkt,みたかさんばし
三高,ja,三高
三高,en,Mitaka
三高,ja-Hrkt,みたか
三高中学校前,ja,三高中学校前
三高中学校前,en,Mitaka Chugakko Mae
三高中学校前,ja-Hrkt,みたかちゅうがっこうまえ
高祖,ja,高祖
高祖,en,Koso
高祖,ja-Hrkt,こうそ
豊作原住宅前,ja,豊作原住宅前
豊作原住宅前,en,Horakubara Jutaku Mae
豊作原住宅前,ja-Hrkt,ほうさくばらじゅうたくまえ
大間,ja,大間
大間,en,Oma
大間,ja-Hrkt,おおま
亀原,ja,亀原
亀原,en,Kamehara
亀原,ja-Hrkt,かめはら
沖美ふれあいセンター前,ja,沖美ふれあいセンター前
沖美ふれあいセンター前,en,Okimi Fureai Center Mae
沖美ふれあいセンター前,ja-Hrkt,おきみふれあいせんたーまえ
美能,ja,美能
美能,en,Mino
美能,ja-Hrkt,みのう
わだて,ja,わだて
わだて,en,Wadate
わだて,ja-Hrkt,わだて
ニューブルービーチ前,ja,ニューブルービーチ前
ニューブルービーチ前,en,New Blue Beach Mae
ニューブルービーチ前,ja-Hrkt,にゅーぶるーびーちまえ
砠,ja,砠
砠,en,Sowa
砠,ja-Hrkt,そうわ
鹿田公園前,ja,鹿田公園前
鹿田公園前,en,Shikata Koen Mae
鹿田公園前,ja-Hrkt,しかたこうえんまえ
堂道,ja,堂道
堂道,en,Dodo
堂道,ja-Hrkt,どうどう
林山,ja,林山
林山,en,Hayashiyama
林山,ja-Hrkt,はやしやま
是長,ja,是長
是長,en,Korenaga
是長,ja-Hrkt,これなが
松崎,ja,松崎
松崎,en,Massaki
松崎,ja-Hrkt,まさき
松崎,ko,맛사키
松崎,zh_cn,松崎
松崎,zh_tw,松崎
沖美市民センター前,ja,沖美市民センター前
沖美市民センター前,en,Oki Shimin Center Mae
沖美市民センター前,ja-Hrkt,おきみしみんせんたーまえ
畑,ja,畑
畑,en,Hata
畑,ja-Hrkt,はた
畑,ko,하타
畑,zh_cn,畑
畑,zh_tw,畑
岡,ja,岡
岡,en,Oka
岡,ja-Hrkt,おか
岡,ko,오카
岡,zh_cn,冈
岡,zh_tw,岡
大王,ja,大王
大王,en,Daiou
大王,ja-Hrkt,だいおう
大王神社前,ja,大王神社前
大王神社前,en,Daiou Jinja Mae
大王神社前,ja-Hrkt,だいおうじんじゃまえ
小田,ja,小田
小田,en,Oda
小田,ja-Hrkt,おだ
中郷公園,ja,中郷公園
中郷公園,en,Nakago Koen Mae
中郷公園,ja-Hrkt,なかごうこうえん
奥小路,ja,奥小路
奥小路,en,Okushoji
奥小路,ja-Hrkt,おくしょうじ
世上,ja,世上
世上,en,Sejo
世上,ja-Hrkt,せじょう
世上大橋,ja,世上大橋
世上大橋,en,Sejo Ohashi
世上大橋,ja-Hrkt,せじょうおおはし
宮ノ原２丁目,ja,宮ノ原２丁目
宮ノ原２丁目,en,nichome
宮ノ原２丁目,ja-Hrkt,みやのはらにちょうめ
宮ノ原２丁目,ko,2초메
宮ノ原２丁目,zh_cn,2丁目
宮ノ原２丁目,zh_tw,2丁目
一つ川橋,ja,一つ川橋
一つ川橋,en,Hitotsu Kawa Bashi
一つ川橋,ja-Hrkt,ひとつかわばし
石風呂,ja,石風呂
石風呂,en,Ishiburo
石風呂,ja-Hrkt,いしぶろ
大原,ja,大原
大原,en,Ohara
大原,ja-Hrkt,おおはら
