"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","jp_trip_desc","jp_trip_desc_symbol","jp_office_id","wheelchair_accessible"
"1_47_20260401","1_1384_20260401","1_1384_88_1_102262_20260401","福山駅前",,"0",,,,,"1",
"1_47_20260401","2_1387_20260401","1_1387_88_1_102261_20260401","福山駅前",,"0",,,,,"2",
"1_47_20260401","2_1387_20260401","1_1387_88_1_102263_20260401","福山駅前",,"0",,,,,"2",
"1_47_20260401","2_1388_20260401","1_1388_88_1_102266_20260401","福山駅前",,"0",,,,,"2",
"1_47_20260401","2_1388_20260401","1_1388_88_1_102267_20260401","福山駅前",,"0",,,,,"2",
"1_47_20260401","2_1388_20260401","1_1388_88_1_102268_20260401","福山駅前",,"0",,,,,"2",
"1_47_20260401","2_1388_20260401","1_1388_88_1_102269_20260401","福山駅前",,"0",,,,,"2",
"1_47_20260401","2_1390_20260401","1_1390_88_1_102266_20260401","福山駅前",,"0",,,,,"2",
"1_47_20260401","2_1390_20260401","1_1390_88_1_102267_20260401","福山駅前",,"0",,,,,"2",
"1_47_20260401","2_1390_20260401","1_1390_88_1_102268_20260401","福山駅前",,"0",,,,,"2",
"1_47_20260401","2_1390_20260401","1_1390_88_1_102269_20260401","福山駅前",,"0",,,,,"2",
"1_47_20260401","3_1391_20260401","1_1391_88_1_102259_20260401","福山駅前",,"0",,,,,"3",
"1_47_20260401","3_1391_20260401","1_1391_88_1_102260_20260401","福山駅前",,"0",,,,,"3",
"1_47_20260401","1_1384_20260401","1_1384_101_1_102256_20260401","福山駅前",,"0",,,,,"1",
"1_47_20260401","1_1385_20260401","1_1385_101_1_102265_20260401","福山駅前",,"0",,,,,"1",
"1_47_20260401","1_1386_20260401","1_1386_101_1_102265_20260401","福山駅前",,"0",,,,,"1",
"1_47_20260401","2_1387_20260401","1_1387_101_1_102257_20260401","福山駅前",,"0",,,,,"2",
"1_47_20260401","2_1387_20260401","1_1387_101_1_102258_20260401","福山駅前",,"0",,,,,"2",
"1_47_20260401","1_1384_20260401","1_1384_154_2_2659_20260401","市出張所",,"1",,,,,"1",
