"shape_id","shape_pt_lat","shape_pt_lon","shape_pt_sequence","shape_dist_traveled"
"1_117_2","34.488255555555554","133.36323055555556","1",
"1_117_2","34.48795833333333","133.36330555555554","2",
"1_117_2","34.487944444444445","133.3633638888889","3",
"1_117_2","34.487966666666665","133.36349166666668","4",
"1_117_2","34.48835555555556","133.36533333333333","5",
"1_117_2","34.48835555555556","133.36548888888888","6",
"1_117_2","34.48813055555556","133.36595","7",
"1_117_2","34.487877777777776","133.36661388888888","8",
"1_117_2","34.48784444444444","133.36668055555555","9",
"1_117_2","34.487830555555554","133.36714166666667","10",
"1_117_2","34.487833333333334","133.36741388888888","11",
"1_117_2","34.48773055555556","133.368425","12",
"1_117_2","34.487655555555556","133.36905555555555","13",
"1_117_2","34.48750277777778","133.36994166666668","14",
"1_117_2","34.48721666666667","133.37070555555556","15",
"1_117_2","34.48659444444444","133.3720972222222","16",
"1_117_2","34.48598055555556","133.37336666666667","17",
"1_117_2","34.485327777777776","133.37502777777777","18",
"1_117_2","34.484766666666665","133.37638055555556","19",
"1_117_2","34.48446666666667","133.3771638888889","20",
"1_117_2","34.48426944444444","133.37786666666668","21",
"1_117_2","34.484125","133.3787027777778","22",
"1_117_2","34.484025","133.379325","23",
"1_117_2","34.48345555555556","133.38133333333334","24",
"1_117_2","34.483222222222224","133.3822","25",
"1_117_2","34.48307777777778","133.38258055555556","26",
"1_117_2","34.482791666666664","133.38304166666666","27",
"1_117_2","34.4831","133.38342777777777","28",
"1_117_2","34.48353888888889","133.3838638888889","29",
"1_117_2","34.483605555555556","133.38496666666666","30",
"1_117_2","34.48370833333333","133.38676666666666","31",
"1_117_2","34.48388055555556","133.38946666666666","32",
"1_117_2","34.48411388888889","133.39323055555556","33",
"1_117_2","34.48433055555556","133.39685555555556","34",
"1_117_2","34.48455555555555","133.40064166666667","35",
"1_117_2","34.484791666666666","133.40439166666667","36",
"1_117_2","34.484880555555556","133.40536666666668","37",
"1_117_2","34.484830555555554","133.4054277777778","38",
"1_117_2","34.483830555555556","133.40564444444445","39",
"1_117_2","34.48355277777778","133.4058638888889","40",
"1_117_2","34.483380555555556","133.40610555555557","41",
"1_117_2","34.483044444444445","133.4069027777778","42",
"1_117_2","34.48215555555556","133.40899166666668","43",
"1_117_2","34.48136944444445","133.41083055555555","44",
"1_117_2","34.481","133.41183333333333","45",
"1_117_2","34.48030555555555","133.41347777777779","46",
"1_117_2","34.47980277777778","133.41461666666666","47",
"1_117_2","34.479758333333336","133.41479166666667","48",
"1_117_2","34.479727777777775","133.41504166666667","49",
"1_117_2","34.47978055555556","133.4154888888889","50",
"1_117_2","34.47999166666666","133.41612777777777","51",
"1_117_2","34.480108333333334","133.41675","52",
"1_117_2","34.48016388888889","133.41841666666667","53",
"1_117_2","34.48005555555556","133.4199888888889","54",
"1_117_2","34.480025","133.42186944444444","55",
"1_117_2","34.4799","133.42232777777778","56",
"1_117_2","34.47978055555556","133.4225138888889","57",
"1_117_2","34.47938055555556","133.42310277777779","58",
"1_117_2","34.47906666666667","133.423575","59",
"1_117_2","34.47889166666667","133.42391666666666","60",
"1_117_2","34.47881388888889","133.4241638888889","61",
"1_117_2","34.47880555555555","133.42443055555555","62",
"1_117_2","34.47890833333334","133.42488055555555","63",
"1_117_2","34.479166666666664","133.42563055555556","64",
"1_117_2","34.47918055555556","133.425925","65",
"1_117_2","34.479105555555556","133.42633333333333","66",
"1_117_2","34.47898055555556","133.42700277777777","67",
"1_117_2","34.478880555555556","133.42759444444445","68",
"1_117_2","34.478791666666666","133.42823055555556","69",
"1_117_2","34.47886666666667","133.42855277777778","70",
"1_117_2","34.47884444444445","133.42866944444444","71",
"1_117_2","34.47881388888889","133.42855555555556","72",
"1_117_2","34.478775","133.4283638888889","73",
"1_117_2","34.47875555555556","133.42823055555556","74",
"1_117_2","34.47878055555555","133.42789444444443","75",
"1_117_2","34.47904166666667","133.42638055555557","76",
"1_117_2","34.47913055555556","133.425925","77",
"1_117_2","34.479147222222224","133.425725","78",
"1_117_2","34.47940833333333","133.42568055555554","79",
"1_117_2","34.48096666666667","133.42571666666666","80",
"1_117_2","34.48125","133.42571944444444","81",
"1_117_2","34.481430555555555","133.42574166666665","82",
"1_117_2","34.481680555555556","133.42581666666666","83",
"1_117_2","34.48189166666667","133.42595555555556","84",
"1_117_2","34.48209444444444","133.42614444444445","85",
"1_117_2","34.48229166666667","133.42641666666665","86",
"1_117_2","34.48260833333333","133.42695555555557","87",
"1_117_2","34.48281388888889","133.42729444444444","88",
"1_117_2","34.48323333333333","133.42768055555555","89",
"1_117_2","34.484405555555554","133.42826944444445","90",
"1_117_2","34.48540277777778","133.42875","91",
"1_117_2","34.485933333333335","133.42901944444444","92",
"1_117_2","34.486216666666664","133.42928055555555","93",
"1_117_2","34.48668055555556","133.42972777777777","94",
"1_117_2","34.48735","133.43045555555557","95",
"1_117_2","34.48781388888889","133.43095555555556","96",
