trans_id,lang,translation,category,station_sid,course_sid
あさひが丘東,ja,あさひが丘東,stop_name,12f34cb2-9106-4ebb-b8dd-463f180860ae,
あさひが丘東,ja-Hrkt,あさひがおかひがし,stop_name,12f34cb2-9106-4ebb-b8dd-463f180860ae,
あさひが丘東,en,Asahigaoka-higashi,stop_name,12f34cb2-9106-4ebb-b8dd-463f180860ae,
あさひが丘東,ko,아사히가오카 히가시,stop_name,12f34cb2-9106-4ebb-b8dd-463f180860ae,
あさひが丘東,zh-cn,旭丘东,stop_name,12f34cb2-9106-4ebb-b8dd-463f180860ae,
あさひが丘東,zh-tw,旭丘東,stop_name,12f34cb2-9106-4ebb-b8dd-463f180860ae,
くすの木台,ja,くすの木台,stop_name,df09e3c6-41ca-497b-a7c7-c40a2efcdb04,
くすの木台,ja-Hrkt,くすのきだい,stop_name,df09e3c6-41ca-497b-a7c7-c40a2efcdb04,
くすの木台,en,Kusunokidai,stop_name,df09e3c6-41ca-497b-a7c7-c40a2efcdb04,
くすの木台,ko,구스노키다이,stop_name,df09e3c6-41ca-497b-a7c7-c40a2efcdb04,
くすの木台,zh-cn,楠木台,stop_name,df09e3c6-41ca-497b-a7c7-c40a2efcdb04,
くすの木台,zh-tw,楠木臺,stop_name,df09e3c6-41ca-497b-a7c7-c40a2efcdb04,
くすの木台下,ja,くすの木台下,stop_name,d2b9391d-8fc4-4cca-bc33-73fab6602733,
くすの木台下,ja-Hrkt,くすのきだいしも,stop_name,d2b9391d-8fc4-4cca-bc33-73fab6602733,
くすの木台下,en,Kusunokidai-shimo,stop_name,d2b9391d-8fc4-4cca-bc33-73fab6602733,
くすの木台下,ko,구스노키다이 시모,stop_name,d2b9391d-8fc4-4cca-bc33-73fab6602733,
くすの木台下,zh-cn,楠木台下,stop_name,d2b9391d-8fc4-4cca-bc33-73fab6602733,
くすの木台下,zh-tw,楠木臺下,stop_name,d2b9391d-8fc4-4cca-bc33-73fab6602733,
くすの木台中,ja,くすの木台中,stop_name,d509bdb9-6989-4713-be56-59dc1f816ece,
くすの木台中,ja-Hrkt,くすのきだいなか,stop_name,d509bdb9-6989-4713-be56-59dc1f816ece,
くすの木台中,en,Kusunokidai-naka,stop_name,d509bdb9-6989-4713-be56-59dc1f816ece,
くすの木台中,ko,구스노키다이 나카,stop_name,d509bdb9-6989-4713-be56-59dc1f816ece,
くすの木台中,zh-cn,楠木台中,stop_name,d509bdb9-6989-4713-be56-59dc1f816ece,
くすの木台中,zh-tw,楠木臺中,stop_name,d509bdb9-6989-4713-be56-59dc1f816ece,
安県営住宅,ja,安県営住宅,stop_name,2970ace1-7558-46d1-9974-49cfd7d46bc0,
安県営住宅,ja-Hrkt,やすけんえいじゅうたく,stop_name,2970ace1-7558-46d1-9974-49cfd7d46bc0,
安県営住宅,en,Yasu Kenei Jutaku,stop_name,2970ace1-7558-46d1-9974-49cfd7d46bc0,
安県営住宅,ko,야스 현영주택,stop_name,2970ace1-7558-46d1-9974-49cfd7d46bc0,
安県営住宅,zh-cn,安县营住宅,stop_name,2970ace1-7558-46d1-9974-49cfd7d46bc0,
安県営住宅,zh-tw,安縣營住宅,stop_name,2970ace1-7558-46d1-9974-49cfd7d46bc0,
安佐営業所,ja,安佐営業所,stop_name,60d46c20-0372-4378-8289-a5c6526bf50e,
安佐営業所,ja-Hrkt,あさえいぎょうしょ,stop_name,60d46c20-0372-4378-8289-a5c6526bf50e,
安佐営業所,en,Asa Eigyosho,stop_name,60d46c20-0372-4378-8289-a5c6526bf50e,
安佐営業所,ko,아사 영업소,stop_name,60d46c20-0372-4378-8289-a5c6526bf50e,
安佐営業所,zh-cn,安佐营业所,stop_name,60d46c20-0372-4378-8289-a5c6526bf50e,
安佐営業所,zh-tw,安佐營業所,stop_name,60d46c20-0372-4378-8289-a5c6526bf50e,
安佐出張所前,ja,安佐出張所前,stop_name,1417ccea-f498-451a-af73-ac035594e355,
安佐出張所前,ja-Hrkt,あさしゅっちょうしょまえ,stop_name,1417ccea-f498-451a-af73-ac035594e355,
安佐出張所前,en,Asa Shutchosho-mae (Asa Branch Office),stop_name,1417ccea-f498-451a-af73-ac035594e355,
安佐出張所前,ko,아사 출장소,stop_name,1417ccea-f498-451a-af73-ac035594e355,
安佐出張所前,zh-cn,安佐办事处前,stop_name,1417ccea-f498-451a-af73-ac035594e355,
安佐出張所前,zh-tw,安佐辦事處前,stop_name,1417ccea-f498-451a-af73-ac035594e355,
安佐動物公園,ja,安佐動物公園,stop_name,8c607db6-1c17-4b74-994d-4ebf5e28641d,
安佐動物公園,ja-Hrkt,あさどうぶつこうえん,stop_name,8c607db6-1c17-4b74-994d-4ebf5e28641d,
安佐動物公園,en,Asa Dobutsu Koen (Asa Zoo),stop_name,8c607db6-1c17-4b74-994d-4ebf5e28641d,
安佐動物公園,ko,아사 동물 공원,stop_name,8c607db6-1c17-4b74-994d-4ebf5e28641d,
安佐動物公園,zh-cn,安佐动物公园,stop_name,8c607db6-1c17-4b74-994d-4ebf5e28641d,
安佐動物公園,zh-tw,安佐動物公園,stop_name,8c607db6-1c17-4b74-994d-4ebf5e28641d,
一つ町,ja,一つ町,stop_name,0b7b6fb1-38bb-4335-9e12-6014fc9fca57,
一つ町,ja-Hrkt,ひとつまち,stop_name,0b7b6fb1-38bb-4335-9e12-6014fc9fca57,
一つ町,en,Hitotsumachi,stop_name,0b7b6fb1-38bb-4335-9e12-6014fc9fca57,
一つ町,ko,히토쓰마치,stop_name,0b7b6fb1-38bb-4335-9e12-6014fc9fca57,
一つ町,zh-cn,一町,stop_name,0b7b6fb1-38bb-4335-9e12-6014fc9fca57,
一つ町,zh-tw,一町,stop_name,0b7b6fb1-38bb-4335-9e12-6014fc9fca57,
宇津,ja,宇津,stop_name,56fc711a-a0ff-48f6-bbc7-4576e70a3ec7,
宇津,ja-Hrkt,うづ,stop_name,56fc711a-a0ff-48f6-bbc7-4576e70a3ec7,
宇津,en,Uzu,stop_name,56fc711a-a0ff-48f6-bbc7-4576e70a3ec7,
宇津,ko,우즈,stop_name,56fc711a-a0ff-48f6-bbc7-4576e70a3ec7,
宇津,zh-cn,宇津,stop_name,56fc711a-a0ff-48f6-bbc7-4576e70a3ec7,
宇津,zh-tw,宇津,stop_name,56fc711a-a0ff-48f6-bbc7-4576e70a3ec7,
下向,ja,下向,stop_name,51f374aa-6d21-49fb-8a73-f974a0e8c686,
下向,ja-Hrkt,しもむかい,stop_name,51f374aa-6d21-49fb-8a73-f974a0e8c686,
下向,en,Shimomukai,stop_name,51f374aa-6d21-49fb-8a73-f974a0e8c686,
下向,ko,시모무카이,stop_name,51f374aa-6d21-49fb-8a73-f974a0e8c686,
下向,zh-cn,下向,stop_name,51f374aa-6d21-49fb-8a73-f974a0e8c686,
下向,zh-tw,下向,stop_name,51f374aa-6d21-49fb-8a73-f974a0e8c686,
下向上,ja,下向上,stop_name,79a65481-b580-45eb-a221-4c0fd78ba713,
下向上,ja-Hrkt,しもむかいかみ,stop_name,79a65481-b580-45eb-a221-4c0fd78ba713,
下向上,en,Shimomukai-kami,stop_name,79a65481-b580-45eb-a221-4c0fd78ba713,
下向上,ko,시모무카이카미,stop_name,79a65481-b580-45eb-a221-4c0fd78ba713,
下向上,zh-cn,下向上,stop_name,79a65481-b580-45eb-a221-4c0fd78ba713,
下向上,zh-tw,下向上,stop_name,79a65481-b580-45eb-a221-4c0fd78ba713,
下大下,ja,下大下,stop_name,174adde3-31bf-4198-b84d-d6720eb6d699,
下大下,ja-Hrkt,しもおおしも,stop_name,174adde3-31bf-4198-b84d-d6720eb6d699,
下大下,en,Shimo-oshimo,stop_name,174adde3-31bf-4198-b84d-d6720eb6d699,
下大下,ko,시모오시모,stop_name,174adde3-31bf-4198-b84d-d6720eb6d699,
下大下,zh-cn,下大下,stop_name,174adde3-31bf-4198-b84d-d6720eb6d699,
下大下,zh-tw,下大下,stop_name,174adde3-31bf-4198-b84d-d6720eb6d699,
下萩原,ja,下萩原,stop_name,4e2e8054-0b76-4fee-8019-6c3c7e02e8c7,
下萩原,ja-Hrkt,しもはぎはら,stop_name,4e2e8054-0b76-4fee-8019-6c3c7e02e8c7,
下萩原,en,Shimo-hagiwara,stop_name,4e2e8054-0b76-4fee-8019-6c3c7e02e8c7,
下萩原,ko,시모하기와라,stop_name,4e2e8054-0b76-4fee-8019-6c3c7e02e8c7,
下萩原,zh-cn,下萩原,stop_name,4e2e8054-0b76-4fee-8019-6c3c7e02e8c7,
下萩原,zh-tw,下萩原,stop_name,4e2e8054-0b76-4fee-8019-6c3c7e02e8c7,
下伴,ja,下伴,stop_name,ae1d12e0-9c28-42b1-b240-b1f6b2088044,
下伴,ja-Hrkt,しもとも,stop_name,ae1d12e0-9c28-42b1-b240-b1f6b2088044,
下伴,en,Shimotomo,stop_name,ae1d12e0-9c28-42b1-b240-b1f6b2088044,
下伴,ko,시모토모,stop_name,ae1d12e0-9c28-42b1-b240-b1f6b2088044,
下伴,zh-cn,下伴,stop_name,ae1d12e0-9c28-42b1-b240-b1f6b2088044,
