trans_id,lang,translation
下伴,ja-Hrkt,しもとも
下伴,en,Shimotomo
下伴,ko,시모토모
下伴,zh-cn,下伴
下伴,zh-tw,下伴
下槙原,ja,下槙原
下槙原,ja-Hrkt,しもまきはら
下槙原,en,Shimo-makihara
下槙原,ko,시모마키하라
下槙原,zh-cn,下槙原
下槙原,zh-tw,下槙原
角山橋,ja,角山橋
角山橋,ja-Hrkt,かくやまばし
角山橋,en,Kakuyamabashi
角山橋,ko,가쿠야마바시
角山橋,zh-cn,角山桥
角山橋,zh-tw,角山橋
吉山,ja,吉山
吉山,ja-Hrkt,よしやま
吉山,en,Yoshiyama
吉山,ko,요시야마
吉山,zh-cn,吉山
吉山,zh-tw,吉山
久地学校,ja,久地学校
久地学校,ja-Hrkt,くちがっこう
久地学校,en,Kuchi Gakko (Kuchi School)
久地学校,ko,구치 갓코
久地学校,zh-cn,久地学校
久地学校,zh-tw,久地學校
久地魚切,ja,久地魚切
久地魚切,ja-Hrkt,くちうおきり
久地魚切,en,Kuchi Uokiri
久地魚切,ko,구치우오키리
久地魚切,zh-cn,久地鱼切
久地魚切,zh-tw,久地魚切
久地境原,ja,久地境原
久地境原,ja-Hrkt,くちさかいばら
久地境原,en,Kuchi Sakaibara
久地境原,ko,구치 사카이바라
久地境原,zh-cn,久地境原
久地境原,zh-tw,久地境原
久地川井,ja,久地川井
久地川井,ja-Hrkt,くちかわい
久地川井,en,Kuchi Kawai
久地川井,ko,구치 카와이
久地川井,zh-cn,久地川井
久地川井,zh-tw,久地川井
久地農協,ja,久地農協
久地農協,ja-Hrkt,くちのうきょう
久地農協,en,Kuchi Nokyo
久地農協,ko,구치 노쿄
久地農協,zh-cn,久地农协
久地農協,zh-tw,久地農協
久地本郷下,ja,久地本郷下
久地本郷下,ja-Hrkt,くちほんごうしも
久地本郷下,en,Kuchi Hongo-shimo
久地本郷下,ko,구치 혼고 시모
久地本郷下,zh-cn,久地本乡下
久地本郷下,zh-tw,久地本鄉下
魚切橋,ja,魚切橋
魚切橋,ja-Hrkt,うおきりばし
魚切橋,en,Uokiribashi
魚切橋,ko,우오키리바시
魚切橋,zh-cn,鱼切桥
魚切橋,zh-tw,魚切橋
魚切中,ja,魚切中
魚切中,ja-Hrkt,うおきりなか
魚切中,en,Uokiri-naka
魚切中,ko,우오키리 나카
魚切中,zh-cn,鱼切中
魚切中,zh-tw,魚切中
教雲寺前,ja,教雲寺前
教雲寺前,ja-Hrkt,きょううんじまえ
教雲寺前,en,Kyounji-mae (Kyounji Temple)
教雲寺前,ko,교운지 절
教雲寺前,zh-cn,教云寺前
教雲寺前,zh-tw,教雲寺前
郷坂,ja,郷坂
郷坂,ja-Hrkt,ごうさか
郷坂,en,Gosaka
郷坂,ko,고사카
郷坂,zh-cn,乡坂
郷坂,zh-tw,鄉阪
県営あさひが丘住宅,ja,県営あさひが丘住宅
県営あさひが丘住宅,ja-Hrkt,けんえいあさひがおかじゅうたく
県営あさひが丘住宅,en,Kenei Asahigaoka Jutaku
県営あさひが丘住宅,ko,겐에이 아사히가오카 주타쿠
県営あさひが丘住宅,zh-cn,县营旭丘住宅
県営あさひが丘住宅,zh-tw,縣營旭丘住宅
戸山学校,ja,戸山学校
戸山学校,ja-Hrkt,とやまがっこう
戸山学校,en,Toyama Gakko (Toyama School)
戸山学校,ko,도야마 갓코
戸山学校,zh-cn,户山学校
戸山学校,zh-tw,戶山學校
戸山車庫,ja,戸山車庫
戸山車庫,ja-Hrkt,とやましゃこ
戸山車庫,en,Toyama Shako (Toyama Depot)
戸山車庫,ko,도야마 차고
戸山車庫,zh-cn,户山车库
戸山車庫,zh-tw,戶山車庫
戸山中村,ja,戸山中村
戸山中村,ja-Hrkt,とやまなかむら
戸山中村,en,Toyama Nakamura
戸山中村,ko,도야마 나카무라
戸山中村,zh-cn,户山中村
戸山中村,zh-tw,戶山中村
戸山農協支所前,ja,戸山農協支所前
戸山農協支所前,ja-Hrkt,とやまのうきょうししょまえ
戸山農協支所前,en,Toyama Nokyo Shisho-mae (Toyama Nokyo Branch)
戸山農協支所前,ko,도야마 노쿄 지소
戸山農協支所前,zh-cn,户山农协支所前
戸山農協支所前,zh-tw,戶山農協支所前
戸山槙原,ja,戸山槙原
戸山槙原,ja-Hrkt,とやままきはら
戸山槙原,en,Toyama Makihara
戸山槙原,ko,도야마 마키하라
戸山槙原,zh-cn,户山槙原
戸山槙原,zh-tw,戶山槙原
戸山郵便局前,ja,戸山郵便局前
戸山郵便局前,ja-Hrkt,とやまゆうびんきょくまえ
