trans_id,lang,translation
警固屋５丁目,ja,警固屋５丁目
警固屋５丁目,ja-Hrkt,けごやごちょうめ
警固屋５丁目,en,Kegoya-gochome (Kegoya 5)
警固屋５丁目,ko,게고야 5초메
警固屋５丁目,zh-cn,警固屋5丁目
警固屋５丁目,zh-tw,警固屋5丁目
警固屋ドック前,ja,警固屋ドック前
警固屋ドック前,ja-Hrkt,けごやどっくまえ
警固屋ドック前,en,Kegoya Dock-mae
警固屋ドック前,ko,게고야 독 마에
警固屋ドック前,zh-cn,警固屋船坞前
警固屋ドック前,zh-tw,警固屋船塢前
警固屋市民センター,ja,警固屋市民センター
警固屋市民センター,ja-Hrkt,けごやしみんせんたー
警固屋市民センター,en,Kegoya Shimin Center (Kegoya Citizen Center)
警固屋市民センター,ko,게고야 시민 센터
警固屋市民センター,zh-cn,警固屋市民中心
警固屋市民センター,zh-tw,警固屋市民中心
警固屋中学校,ja,警固屋中学校
警固屋中学校,ja-Hrkt,けごやちゅうがっこう
警固屋中学校,en,Kegoya Chugakko (Kegoya Junior High School)
警固屋中学校,ko,게고야 중학교
警固屋中学校,zh-cn,警固屋中学
警固屋中学校,zh-tw,警固屋中學
音戸渡船口,ja,音戸渡船口
音戸渡船口,ja-Hrkt,おんどとせんぐち
音戸渡船口,en,Ondo Tosen-guchi
音戸渡船口,ko,온도 토센 구치
音戸渡船口,zh-cn,音户渡船口
音戸渡船口,zh-tw,音戶渡船口
清盛塚,ja,清盛塚
清盛塚,ja-Hrkt,きよもりづか
清盛塚,en,Kiyomorizuka
清盛塚,ko,기요모리즈카
清盛塚,zh-cn,清盛塚
清盛塚,zh-tw,清盛塚
音戸桟橋,ja,音戸桟橋
音戸桟橋,ja-Hrkt,おんどさんばし
音戸桟橋,en,Ondo Sambashi (Ondo Pier)
音戸桟橋,ko,온도 산바시
音戸桟橋,zh-cn,音户栈桥
音戸桟橋,zh-tw,音戶棧橋
音戸市民センター,ja,音戸市民センター
音戸市民センター,ja-Hrkt,おんどしみんせんたー
音戸市民センター,en,Ondo Shimin Center (Ondo Citizen Center)
音戸市民センター,ko,온도 시민 센터
音戸市民センター,zh-cn,音户市民中心
音戸市民センター,zh-tw,音戶市民中心
高須,ja,高須
高須,ja-Hrkt,たかす
高須,en,Takasu
高須,ko,다카스
高須,zh-cn,高须
高須,zh-tw,高須
御所の浦,ja,御所の浦
御所の浦,ja-Hrkt,ごしょのうら
御所の浦,en,Goshonoura
御所の浦,ko,고쇼노우라
御所の浦,zh-cn,御所之浦
御所の浦,zh-tw,禦所之浦
双見,ja,双見
双見,ja-Hrkt,そうみ
双見,en,Somi
双見,ko,소미
双見,zh-cn,双见
双見,zh-tw,雙見
外双見,ja,外双見
外双見,ja-Hrkt,そとそうみ
外双見,en,Soto-somi
外双見,ko,소토소미
外双見,zh-cn,外双见
外双見,zh-tw,外雙見
竹田浜,ja,竹田浜
竹田浜,ja-Hrkt,たけだはま
竹田浜,en,Takedahama
竹田浜,ko,다케다하마
竹田浜,zh-cn,竹田滨
竹田浜,zh-tw,竹田濱
水産海洋技術センター入口,ja,水産海洋技術センター入口
水産海洋技術センター入口,ja-Hrkt,すいさんかいようぎじゅつせんたー
水産海洋技術センター入口,en,Suisan Kaiyo Gijutsu Center-iriguchi
水産海洋技術センター入口,ko,스이산 카이요 기주쓰 센터 이리구치
水産海洋技術センター入口,zh-cn,水产海洋技术中心入口
水産海洋技術センター入口,zh-tw,水產海洋技術中心入口
波多見,ja,波多見
波多見,ja-Hrkt,はたみ
波多見,en,Hatami
波多見,ko,하타미
波多見,zh-cn,波多见
波多見,zh-tw,波多見
田之浦,ja,田之浦
田之浦,ja-Hrkt,たのうら
田之浦,en,Tanoura
田之浦,ko,다노우라
田之浦,zh-cn,田之浦
田之浦,zh-tw,田之浦
請石,ja,請石
請石,ja-Hrkt,うけいし
請石,en,Ukeishi
請石,ko,우케이시
請石,zh-cn,请石
請石,zh-tw,請石
赤崎,ja,赤崎
赤崎,ja-Hrkt,あかさき
赤崎,en,Akasaki
赤崎,ko,아카사키
赤崎,zh-cn,赤崎
赤崎,zh-tw,赤崎
赤崎東,ja,赤崎東
赤崎東,ja-Hrkt,あかさきひがし
赤崎東,en,Akasaki-higashi
赤崎東,ko,아카사키 히가시
赤崎東,zh-cn,赤崎东
赤崎東,zh-tw,赤崎東
有清東,ja,有清東
有清東,ja-Hrkt,ありきよひがし
有清東,en,Arikiyo-higashi
有清東,ko,아리키요 히가시
有清東,zh-cn,有清东
有清東,zh-tw,有清東
奥の内,ja,奥の内
奥の内,ja-Hrkt,おくのうち
奥の内,en,Okunouchi
奥の内,ko,오쿠노우치
奥の内,zh-cn,奥之内
奥の内,zh-tw,奧之內
先奥,ja,先奥
先奥,ja-Hrkt,さきおく
先奥,en,Sakioku
先奥,ko,사키오쿠
先奥,zh-cn,先奥
先奥,zh-tw,先奧
明徳中学校,ja,明徳中学校
明徳中学校,ja-Hrkt,めいとくちゅうがっこう
明徳中学校,en,Meitoku Chugakko (Meitoku Junior High School)
明徳中学校,ko,메이토쿠 중학교
明徳中学校,zh-cn,明德中学
明徳中学校,zh-tw,明德中學
藤の脇,ja,藤の脇
藤の脇,ja-Hrkt,ふじのわき
藤の脇,en,Fujinowaki
藤の脇,ko,후지노와키
藤の脇,zh-cn,藤之胁
藤の脇,zh-tw,藤之脅
釣士田郵便局前,ja,釣士田郵便局前
釣士田郵便局前,ja-Hrkt,りょうしだゆうびんきょくまえ
釣士田郵便局前,en,Ryoshida Yubinkyoku-mae (Ryoshida Post Office)
釣士田郵便局前,ko,료시다 우체국
釣士田郵便局前,zh-cn,钓士田邮局前
釣士田郵便局前,zh-tw,釣士田郵局前
釣士田造船所前,ja,釣士田造船所前
釣士田造船所前,ja-Hrkt,りょうしだぞうせんしょまえ
釣士田造船所前,en,Ryoshida Zosensho-mae
釣士田造船所前,ko,료시다 조센쇼 마에
釣士田造船所前,zh-cn,钓士田造船所前
釣士田造船所前,zh-tw,釣士田造船所前
釣士田南,ja,釣士田南
釣士田南,ja-Hrkt,りょうしだみなみ
釣士田南,en,Ryoshida-minami
釣士田南,ko,료시다 미나미
釣士田南,zh-cn,钓士田南
釣士田南,zh-tw,釣士田南
宇和木新開,ja,宇和木新開
宇和木新開,ja-Hrkt,うわぎしんがい
宇和木新開,en,Uwagi-shingai
宇和木新開,ko,우와기 신가이
宇和木新開,zh-cn,宇和木新开
宇和木新開,zh-tw,宇和木新開
大白明橋,ja,大白明橋
大白明橋,ja-Hrkt,おおしらけばし
大白明橋,en,Oshirakebashi
大白明橋,ko,오시라케바시
大白明橋,zh-cn,大白明桥
大白明橋,zh-tw,大白明橋
宇和木,ja,宇和木
宇和木,ja-Hrkt,うわぎ
宇和木,en,Uwagi
宇和木,ko,우와기
宇和木,zh-cn,宇和木
宇和木,zh-tw,宇和木
倉橋本浦,ja,倉橋本浦
倉橋本浦,ja-Hrkt,くらはしほんうら
倉橋本浦,en,Kurahashi Honura
倉橋本浦,ko,구라하시 혼우라
倉橋本浦,zh-cn,仓桥本浦
倉橋本浦,zh-tw,倉橋本浦
本浦,ja,本浦
本浦,ja-Hrkt,ほんうら
本浦,en,Honura
本浦,ko,혼우라 （구레 시)
本浦,zh-cn,本浦（吴市）
本浦,zh-tw,本浦（吳市）
才の木,ja,才の木
才の木,ja-Hrkt,さいのき
才の木,en,Sainoki
才の木,ko,사이노키
才の木,zh-cn,才之木
才の木,zh-tw,才之木
桂浜･温泉館,ja,桂浜･温泉館
桂浜･温泉館,ja-Hrkt,かつらがはまおんせんかん
桂浜･温泉館,en,Katsuragahama/Onsenkan
桂浜･温泉館,ko,가쓰라가하마·온센칸
桂浜･温泉館,zh-cn,桂滨･温泉馆
桂浜･温泉館,zh-tw,桂濱･溫泉館
音戸,ja,音戸
音戸,ja-Hrkt,おんど
音戸,en,Ondo
音戸,ko,온도
音戸,zh-cn,音户
音戸,zh-tw,音戶
三軒鼻,ja,三軒鼻
三軒鼻,ja-Hrkt,さんげんばな
三軒鼻,en,Sangembana
三軒鼻,ko,산겐바나
三軒鼻,zh-cn,三轩鼻
三軒鼻,zh-tw,三軒鼻
坪井東,ja,坪井東
坪井東,ja-Hrkt,つぼいひがし
坪井東,en,Tsuboi-higashi
坪井東,ko,쓰보이 히가시
坪井東,zh-cn,坪井东
坪井東,zh-tw,坪井東
坪井,ja,坪井
